iter	Passed	Remaining
0	19	19634
1	121	60518
2	138	45972
3	168	42042
4	258	51421
5	271	45050
6	364	51770
7	376	46698
8	383	42241
9	403	39905
10	476	42853
11	559	46084
12	642	48797
13	727	51254
14	812	53359
15	897	55219
16	983	56882
17	1064	58081
18	1141	58940
19	1150	56366
20	1234	57550
21	1314	58454
22	1402	59570
23	1494	60782
24	1578	61543
25	1666	62429
26	1743	62823
27	1827	63444
28	1915	64152
29	2010	64994
30	2099	65630
31	2178	65884
32	2269	66516
33	2355	66925
34	2434	67135
35	2523	67578
36	2532	65922
37	2611	66114
38	2627	64734
39	2711	65077
40	2792	65324
41	2884	65783
42	2972	66158
43	3062	66529
44	3149	66832
45	3240	67209
46	3323	67399
47	3332	66097
48	3353	65089
49	3440	65362
50	3527	65647
51	3536	64473
52	3549	63425
53	3652	63983
54	3734	64167
55	3827	64519
56	3918	64823
57	4037	65581
58	4130	65884
59	4221	66141
60	4305	66283
61	4392	66452
62	4476	66577
63	4570	66838
64	4658	67017
65	4744	67146
66	4834	67325
67	4915	67373
68	4929	66513
69	5022	66730
70	5106	66818
71	5190	66895
72	5195	65970
73	5279	66065
74	5367	66197
75	5377	65376
76	5470	65571
77	5475	64717
78	5491	64024
79	5503	63287
80	5510	62514
81	5592	62611
82	5680	62759
83	5770	62925
84	5785	62274
85	5870	62392
86	5959	62541
87	6054	62744
88	6146	62916
89	6237	63069
90	6325	63185
91	6330	62482
92	6415	62564
93	6506	62707
94	6597	62850
95	6680	62911
96	6772	63048
97	6866	63197
98	6951	63265
99	7041	63376
100	7140	63553
101	7221	63574
102	7308	63645
103	7400	63759
104	7483	63784
105	7569	63844
106	7653	63871
107	7743	63957
108	7829	63996
109	7919	64077
110	8006	64126
111	8096	64192
112	8189	64283
113	8282	64368
114	8364	64370
115	8446	64365
116	8529	64374
117	8618	64418
118	8696	64386
119	8771	64325
120	8864	64399
121	8952	64430
122	9039	64450
123	9119	64422
124	9197	64383
125	9286	64418
126	9376	64451
127	9452	64398
128	9545	64453
129	9629	64442
130	9712	64429
131	9800	64447
132	9888	64461
133	9978	64486
134	10065	64493
135	10154	64507
136	10232	64456
137	10320	64463
138	10404	64449
139	10487	64420
140	10572	64406
141	10646	64328
142	10722	64262
143	10812	64276
144	10901	64281
145	10991	64295
146	11084	64323
147	11160	64246
148	11251	64260
149	11339	64255
150	11428	64256
151	11504	64183
152	11590	64165
153	11683	64180
154	11763	64131
155	11851	64117
156	11936	64092
157	12028	64098
158	12119	64105
159	12203	64068
160	12281	64002
161	12368	63982
162	12457	63971
163	12546	63956
164	12623	63880
165	12710	63857
166	12796	63830
167	12876	63769
168	12949	63675
169	13039	63661
170	13129	63653
171	13228	63681
172	13317	63663
173	13405	63637
174	13487	63586
175	13565	63509
176	13653	63486
177	13743	63465
178	13833	63450
179	13923	63427
180	14011	63399
181	14091	63333
182	14178	63297
183	14257	63230
184	14341	63181
185	14429	63148
186	14510	63085
187	14598	63053
188	14683	63005
189	14771	62974
190	14863	62957
191	14963	62970
192	15060	62971
193	15139	62898
194	15219	62829
195	15311	62810
196	15401	62780
197	15492	62753
198	15582	62722
199	15672	62688
200	15755	62630
201	15845	62597
202	15930	62546
203	16021	62514
204	16110	62476
205	16203	62455
206	16298	62439
207	16384	62386
208	16463	62307
209	16550	62262
210	16632	62194
211	16733	62197
212	16831	62189
213	16916	62131
214	16995	62053
215	17084	62011
216	17175	61976
217	17266	61938
218	17345	61856
219	17435	61818
220	17520	61757
221	17610	61714
222	17700	61674
223	17796	61651
224	17892	61630
225	17983	61588
226	18065	61519
227	18158	61484
228	18248	61437
229	18334	61379
230	18421	61326
231	18509	61271
232	18601	61234
233	18702	61222
234	18791	61171
235	18885	61138
236	19152	61660
237	19284	61743
238	19376	61696
239	19456	61611
240	19547	61563
241	19636	61506
242	19721	61436
243	19818	61404
244	19912	61363
245	20001	61305
246	20086	61236
247	20167	61154
248	20255	61091
249	20342	61027
250	20430	60966
251	20516	60899
252	20607	60844
253	20706	60814
254	20786	60728
255	20875	60668
256	20963	60607
257	21051	60544
258	21141	60486
259	21227	60416
260	21312	60343
261	21396	60268
262	21487	60214
263	21600	60218
264	21711	60217
265	21803	60163
266	21892	60101
267	21980	60036
268	22065	59961
269	22150	59889
270	22241	59830
271	22327	59758
272	22417	59698
273	22508	59638
274	22590	59556
275	22675	59482
276	22763	59415
277	22853	59353
278	22948	59304
279	23039	59244
280	23130	59183
281	23215	59107
282	23307	59051
283	23394	58979
284	23479	58905
285	23571	58845
286	23667	58797
287	23762	58746
288	23855	58690
289	23946	58626
290	24038	58567
291	24124	58492
292	24207	58413
293	24300	58353
294	24387	58282
295	24482	58228
296	24571	58161
297	24656	58084
298	24739	58001
299	24833	57943
300	24927	57888
301	25017	57821
302	25108	57757
303	25199	57694
304	25286	57619
305	25375	57550
306	25461	57474
307	25545	57393
308	25635	57327
309	25722	57254
310	25805	57171
311	25888	57087
312	25974	57010
313	26067	56949
314	26155	56877
315	26242	56804
316	26335	56741
317	26426	56675
318	26515	56604
319	26607	56540
320	26700	56478
321	26792	56414
322	26883	56346
323	26976	56283
324	27060	56201
325	27141	56114
326	27231	56046
327	27318	55970
328	27406	55896
329	27491	55816
330	27576	55736
331	27664	55662
332	27753	55590
333	27839	55513
334	27921	55426
335	28014	55362
336	28106	55296
337	28191	55215
338	28273	55129
339	28361	55054
340	28440	54963
341	28525	54882
342	28605	54793
343	28698	54727
344	28785	54649
345	28881	54590
346	28969	54515
347	29061	54448
348	29147	54369
349	29233	54290
350	29319	54211
351	29405	54132
352	29496	54062
353	29590	53999
354	29679	53924
355	29771	53855
356	29862	53785
357	29941	53694
358	30031	53622
359	30124	53554
360	30213	53480
361	30304	53409
362	30391	53332
363	30478	53252
364	30559	53165
365	30639	53074
366	30731	53006
367	30811	52914
368	30898	52837
369	30993	52772
370	31082	52698
371	31167	52616
372	31258	52544
373	31350	52474
374	31440	52401
375	31509	52291
376	31599	52219
377	31690	52147
378	31762	52043
379	31848	51963
380	31934	51883
381	32013	51792
