GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_COMPANIONS_NUM,TRAVEL_MISSION_INT,VISIT_AREA_NM,VISIT_AREA_TYPE_CD,DGSTFN,VISIT_AREA_NM_CODE
1,30.0,4.0,4.0,2.0,4.0,6.0,5.0,6.0,6.0,1.0,0.0,5,프로방스마을,7,4.0,9189
0,30.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,7.0,1.0,1.0,6,더현대서울,4,5.0,2266
1,30.0,7.0,1.0,1.0,1.0,7.0,7.0,2.0,4.0,1.0,0.0,2,강릉중앙시장,4,4.0,368
1,20.0,6.0,1.0,1.0,3.0,4.0,6.0,3.0,2.0,3.0,1.0,11,청계천,7,4.0,8400
1,30.0,3.0,3.0,5.0,5.0,1.0,5.0,5.0,2.0,6.0,0.0,21,삼송역 3호선,7,3.0,4180
1,40.0,2.0,4.0,2.0,5.0,4.0,3.0,5.0,6.0,1.0,1.0,5,제부도 워터워크,2,2.0,7745
0,20.0,3.0,2.0,2.0,4.0,3.0,3.0,6.0,4.0,7.0,0.0,1,의정부제일시장,4,5.0,7081
0,30.0,4.0,3.0,3.0,4.0,2.0,3.0,5.0,7.0,1.0,1.0,9,더현대서울,3,5.0,2266
0,40.0,2.0,1.0,1.0,2.0,3.0,1.0,3.0,6.0,8.0,0.0,1,경복궁,2,3.0,560
0,30.0,5.0,4.0,4.0,3.0,2.0,5.0,3.0,4.0,1.0,1.0,22,갤러리아백화점 타임월드점,4,3.0,453
0,30.0,2.0,2.0,2.0,2.0,6.0,6.0,2.0,2.0,9.0,1.0,9,자라섬재즈페스티벌,8,4.0,7435
0,30.0,1.0,1.0,1.0,3.0,3.0,1.0,6.0,6.0,3.0,3.0,22,아모레퍼시픽미술관,3,4.0,5580
0,40.0,6.0,3.0,4.0,2.0,2.0,4.0,6.0,2.0,2.0,1.0,23,세운전자상가,2,4.0,4768
0,40.0,1.0,3.0,2.0,4.0,1.0,2.0,7.0,5.0,7.0,0.0,28,아차산 4보루,1,5.0,5623
0,40.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,7.0,3.0,2.0,9,남도꽃정원,1,4.0,1622
0,30.0,3.0,1.0,6.0,2.0,4.0,3.0,6.0,6.0,3.0,1.0,1,서울숲,1,5.0,4443
0,20.0,2.0,1.0,4.0,3.0,2.0,4.0,4.0,6.0,2.0,1.0,8,메가박스 의정부민락,3,5.0,3019
